timestamp,experiment_name,epoch,step,rank,loss,compute_iter_seconds,step_total_wall_seconds,post_compute_overhead_seconds,backward_seconds,optimizer_step_seconds,checkpoint_requested_initial,checkpoint_reason,checkpoint_requested_final,checkpoint_executed,checkpoint_skipped_by_backpressure,checkpoint_tag,durable_mode_effective,pending_durable_tag_before,pending_durable_tag_after,wait_prev_durable_triggered,wait_prev_durable_local_seconds,wait_prev_durable_window_seconds,wait_prev_durable_bp_wait_seconds,pre_ckpt_backpressure_wait_seconds,ckpt_total_seconds,ckpt_enqueue_seconds,ckpt_flush_barrier_seconds,ckpt_wait_background_seconds,ckpt_durable_local_seconds,ckpt_durable_window_seconds,cleanup_triggered_this_step,cleanup_deleted_count_this_step,cleanup_seconds_this_step,cleanup_reason_this_step,host_cache_capacity_bytes,host_cache_used_bytes_t1,host_cache_used_bytes_t2,pending_flush_bytes_t1,pending_flush_bytes_t2,flush_queue_depth_t1,flush_queue_depth_t2,process_rss_bytes_t1,process_rss_bytes_t2,process_vmlck_bytes_t1,process_vmlck_bytes_t2,auto_enabled,auto_is_profiling,auto_profiled_steps,auto_profile_steps,auto_target_overhead,auto_avg_iter_time_seconds,auto_current_freq,auto_last_ckpt_step,auto_last_eval_step,auto_last_eval_ckpt_duration_seconds,auto_last_eval_actual_interval,auto_last_eval_overhead_pct,auto_last_eval_required_interval,auto_last_eval_ckpt_equiv_iters,auto_last_eval_old_freq,auto_last_eval_new_freq,auto_last_eval_change_type
2026-03-03T21:51:50.738525,smoke,1,11,0,8.625,0.07478809356689453,0.07479715347290039,9.059906005859375e-06,0.074737548828125,4.935264587402344e-05,0,none,0,0,0,,before_next_ckpt,step_10,step_10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,34359738368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,0.0,0,0.0,0,0.0,0,0,none
2026-03-03T21:51:50.825455,smoke,1,12,0,8.625,0.07792019844055176,0.07793092727661133,1.0728836059570312e-05,0.07787346839904785,4.5299530029296875e-05,0,none,0,0,0,,before_next_ckpt,step_10,step_10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,34359738368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,0.0,0,0.0,0,0.0,0,0,none
2026-03-03T21:51:50.905975,smoke,1,13,0,8.625,0.07156229019165039,0.07157158851623535,9.298324584960938e-06,0.07152390480041504,3.719329833984375e-05,0,none,0,0,0,,before_next_ckpt,step_10,step_10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,34359738368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,0.0,0,0.0,0,0.0,0,0,none
2026-03-03T21:51:50.983895,smoke,1,14,0,8.625,0.06831502914428711,0.0683298110961914,1.4781951904296875e-05,0.06828117370605469,3.2901763916015625e-05,0,none,0,0,0,,before_next_ckpt,step_10,step_10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,34359738368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,0.0,0,0.0,0,0.0,0,0,none
2026-03-03T21:51:51.059501,smoke,1,15,0,8.625,0.06507325172424316,0.06508040428161621,7.152557373046875e-06,0.06504106521606445,3.0994415283203125e-05,0,none,0,0,0,,before_next_ckpt,step_10,step_10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,34359738368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,0.0,0,0.0,0,0.0,0,0,none
2026-03-03T21:51:51.167172,smoke,1,16,0,8.625,0.0964193344116211,0.09642863273620605,9.298324584960938e-06,0.06222391128540039,0.034193992614746094,0,none,0,0,0,,before_next_ckpt,step_10,step_10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,34359738368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,0.0,0,0.0,0,0.0,0,0,none
2026-03-03T21:51:51.285157,smoke,1,17,0,6.375,0.06945109367370605,0.06945967674255371,8.58306884765625e-06,0.0622556209564209,0.00719451904296875,0,none,0,0,0,,before_next_ckpt,step_10,step_10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,34359738368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,0.0,0,0.0,0,0.0,0,0,none
2026-03-03T21:51:51.358422,smoke,1,18,0,6.375,0.07297539710998535,0.0729832649230957,7.867813110351562e-06,0.06148171424865723,0.011492252349853516,0,none,0,0,0,,before_next_ckpt,step_10,step_10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,34359738368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,0.0,0,0.0,0,0.0,0,0,none
2026-03-03T21:51:51.432257,smoke,1,19,0,6.375,0.0735173225402832,0.07352495193481445,7.62939453125e-06,0.06199002265930176,0.011526107788085938,0,none,0,0,0,,before_next_ckpt,step_10,step_10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,34359738368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,0.0,0,0.0,0,0.0,0,0,none
2026-03-03T21:52:31.183829,smoke,1,20,0,6.375,0.07324719429016113,39.75127577781677,39.67802858352661,0.061870574951171875,0.011375904083251953,1,interval|final,1,1,0,step_20,before_next_ckpt,step_10,step_20,1,35.289443492889404,35.29013776779175,0.0004050731658935547,0.0,4.386265993118286,4.384365797042847,0.0018994808197021484,0.0002739429473876953,0.0,0.0,1,0,6.151199340820312e-05,before_new_ckpt,34359738368,0,0,0,0,0,0,45129564160,45129564160,0,0,0,0,0,0,0.0,0.0,0,0,,0.0,0,0.0,0,0.0,0,0,none
